isoform	chrom	strand	length	exons	structural_category	associated_gene	associated_transcript	ref_length	ref_exons	diff_to_TSS	diff_to_TTS	subcategory	RTS_stage	all_canonical	min_sample_cov	min_cov	min_cov_pos	sd_cov	FL	n_indels	n_indels_junc	bite	iso_exp	gene_exp	ratio_exp	FSM_class	coding	ORF_length	CDS_length	CDS_start	CDS_end	perc_A_downstream_TTS
PB.5203.1	chr2	-	3746	20	full-splice_match	SMPD4	ENST00000409031.5	4896	20	1159	-9	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	827	2484	108	2591	15.0
PB.7696.1	chr6	-	3342	1	full-splice_match	TSPYL1	ENST00000368608.3	3326	1	-23	7	mono-exon	FALSE	NA	NA	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	C	coding	437	1314	97	1410	50.0
PB.9313.5	chrX	-	5296	27	incomplete-splice_match	FLNA	ENST00000360319.9	8278	46	9713	0	5prime_fragment	TRUE	canonical	NA	NA	NA	NA	NA	25	1	TRUE	NA	NA	NA	C	coding	1324	3975	1002	4976	5.0
PB.7455.1	chr6_GL000255v2_alt	+	3058	4	antisense		novel	NA	NA	NA	NA	multi-exon	FALSE	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	B	coding	345	1038	523	1560	10.0
PB.2931.4	chr15	-	1115	1	full-splice_match	CTD-3110H11.3	ENST00000615671.2	5926	1	-29	4840	mono-exon	FALSE	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	A	non_coding	NA	NA	NA	NA	30.0
PB.473.1	chr1	-	3454	10	full-splice_match	SLC25A24	ENST00000565488.5	4271	10	131	686	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	22	1	TRUE	NA	NA	NA	C	coding	477	1434	90	1523	25.0
PB.3081.6	chr15	-	3468	6	full-splice_match	ARPIN	ENST00000357484.9	7591	6	23	4100	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	15	NA	TRUE	NA	NA	NA	A	coding	226	681	99	779	90.0
PB.7228.1	chr5	+	3534	19	full-splice_match	AFAP1L1	ENST00000296721.8	4177	19	-12	655	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	768	2307	111	2417	25.0
PB.1016.1	chr10	+	1688	5	full-splice_match	SUV39H2	ENST00000378331.5	2959	5	36	1235	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	A	coding	350	1053	68	1120	45.0
PB.2243.1	chr12	+	3680	1	novel_in_catalog	UBE3B	novel	5620	28	232	55392	mono-exon_by_intron_retention	FALSE	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	C	non_coding	NA	NA	NA	NA	90.0
PB.2243.2	chr12	+	5732	28	full-splice_match	UBE3B	ENST00000342494.7	5722	28	-8	-2	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	3	1	TRUE	NA	NA	NA	C	coding	1068	3207	604	3810	10.0
PB.2243.3	chr12	+	5382	28	full-splice_match	UBE3B	ENST00000434735.6	5620	28	232	6	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	3	NA	TRUE	NA	NA	NA	C	coding	1068	3207	259	3465	15.0
PB.4050.4	chr17	+	3489	5	full-splice_match	MRPS7	ENST00000245539.10	1406	5	216	-2299	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	3	NA	TRUE	NA	NA	NA	C	coding	242	729	12	740	95.0
PB.392.9	chr1	-	1921	8	full-splice_match	SERBP1	ENST00000361219.10	2103	8	5	177	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	393	1182	95	1276	35.0
PB.6469.1	chr3	-	1567	2	full-splice_match	SERP1	ENST00000490945.1	1596	2	13	16	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	non_coding	NA	NA	NA	NA	100.0
PB.8450.1	chr8	-	705	4	full-splice_match	ELOC	ENST00000520242.5	1573	4	89	779	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	112	339	133	471	10.0
PB.4050.1	chr17	+	1205	5	full-splice_match	MRPS7	ENST00000245539.10	1406	5	203	-2	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	242	729	25	753	10.0
PB.4050.2	chr17	+	1888	4	full-splice_match	MRPS7	ENST00000579002.5	1638	4	-208	-42	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	271	816	624	1439	5.0
PB.4050.3	chr17	+	887	5	full-splice_match	MRPS7	ENST00000245539.10	1406	5	205	314	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	242	729	23	751	25.0
PB.195.4	chr1	+	3183	13	novel_in_catalog	PHACTR4	novel	597	5	NA	NA	no_combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	686	2061	144	2204	95.0
PB.6322.1	chr3	-	2599	7	full-splice_match	CPOX	ENST00000264193.2	2825	7	98	128	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	A	coding	454	1365	122	1486	30.0
PB.392.3	chr1	-	3492	8	full-splice_match	SERBP1	ENST00000370994.8	6676	8	-24	3208	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	387	1164	140	1303	15.0
PB.195.1	chr1	+	3512	14	full-splice_match	PHACTR4	ENST00000373839.7	6190	14	-5	2683	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	16	NA	TRUE	NA	NA	NA	C	coding	702	2109	267	2375	95.0
PB.5047.2	chr2	+	2020	13	full-splice_match	ANXA4	ENST00000394295.5	2799	13	148	631	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	321	966	101	1066	60.0
PB.5511.1	chr20	-	3228	20	full-splice_match	GPCPD1	ENST00000379019.5	5489	20	19	2242	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	3	1	TRUE	NA	NA	NA	A	coding	672	2019	195	2213	25.0
PB.195.2	chr1	+	3436	15	novel_in_catalog	PHACTR4	novel	597	5	NA	NA	combination_of_known_junctions	TRUE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	710	2133	167	2299	95.0
PB.8823.5	chr9	-	7333	27	novel_in_catalog	TNC	novel	7508	24	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	3	NA	TRUE	NA	NA	NA	C	coding	2110	6333	373	6705	15.0
PB.8877.1	chr9	-	2801	18	novel_in_catalog	CIZ1	novel	717	5	NA	NA	combination_of_known_junctions	TRUE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	842	2529	134	2662	10.0
PB.8764.1	chr9	+	904	6	novel_in_catalog	C9orf3	novel	2820	15	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	B	coding	221	666	23	688	25.0
PB.7455.2	chr6_GL000254v2_alt	+	2724	4	antisense		novel	NA	NA	NA	NA	multi-exon	FALSE	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	B	coding	345	1038	627	1664	30.0
PB.8228.8	chr7	+	815	5	full-splice_match	PRSS2	ENST00000539842.5	795	5	-17	-3	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	247	744	18	761	0.0
PB.8228.7	chr7	+	3601	1	novel_in_catalog	PRSS1	novel	787	6	4	4	mono-exon_by_intron_retention	FALSE	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	A	non_coding	NA	NA	NA	NA	0.0
PB.1974.1	chr12	+	2596	14	novel_in_catalog	CCDC91	novel	518	6	NA	NA	no_combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	B	coding	441	1326	280	1605	10.0
PB.1974.2	chr12	+	2528	13	novel_in_catalog	CCDC91	novel	518	6	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	B	coding	441	1326	211	1536	10.0
PB.1974.3	chr12	+	3147	1	novel_in_catalog	CCDC91	novel	518	6	57202	258930	mono-exon_by_intron_retention	FALSE	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	B	non_coding	NA	NA	NA	NA	85.0
PB.8228.3	chr7	+	3193	3	novel_not_in_catalog	TRBV10-3	novel	368	2	NA	NA	any annotated donor/acceptor	FALSE	non_canonical	NA	NA	NA	NA	NA	2	1	TRUE	NA	NA	NA	A	coding	175	528	20	547	90.0
PB.8228.2	chr7_KI270803v1_alt	+	2116	4	antisense		novel	NA	NA	NA	NA	multi-exon	FALSE	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	B	coding	135	408	23	430	15.0
PB.8228.1	chr7_KI270803v1_alt	+	1201	6	antisense		novel	NA	NA	NA	NA	multi-exon	FALSE	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	B	coding	143	432	26	457	20.0
PB.3378.1	chr16	+	2170	5	incomplete-splice_match	CHD9	ENST00000447540.5	11509	39	-41	101112	3prime_fragment	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	B	coding	640	1920	251	2170	70.0
PB.3993.3	chr17	+	3320	9	novel_not_in_catalog	METTL2A	novel	2537	9	NA	NA	any annotated donor/acceptor	TRUE	canonical	NA	NA	NA	NA	NA	3	NA	TRUE	NA	NA	NA	C	coding	400	1203	15	1217	30.0
PB.3993.2	chr17	+	1549	8	full-splice_match	METTL2A	ENST00000333483.14	1556	8	13	-6	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	242	729	630	1358	75.0
PB.3993.1	chr17	+	1354	9	full-splice_match	METTL2A	ENST00000311506.9	2537	9	4	1179	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	378	1137	33	1169	80.0
PB.6296.1	chr3	+	1537	3	full-splice_match	KCTD6	ENST00000404589.7	1533	3	-39	35	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	237	714	139	852	80.0
PB.1481.1	chr11	-	5252	36	full-splice_match	NUP160	ENST00000378460.6	5376	36	111	13	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	1402	4209	39	4247	25.0
PB.7828.2	chr7	+	2269	12	full-splice_match	WIPI2	ENST00000401525.7	2112	12	42	-199	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	436	1311	183	1493	30.0
PB.1481.2	chr11	-	5105	36	full-splice_match	NUP160	ENST00000378460.6	5376	36	125	146	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	1402	4209	25	4233	40.0
PB.6920.1	chr5	-	2139	17	full-splice_match	CLPTM1L	ENST00000320895.9	2500	17	359	2	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	405	1218	299	1516	25.0
PB.7796.1	chr6	-	1502	6	full-splice_match	PDCD2	ENST00000541970.5	3378	6	40	1836	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	A	coding	344	1035	40	1074	45.0
PB.6347.1	chr3	-	2717	7	full-splice_match	DPPA4	ENST00000335658.6	2817	7	72	28	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	14	NA	TRUE	NA	NA	NA	C	coding	294	885	14	898	60.0
PB.544.1	chr1	+	2627	1	intergenic	novelGene_53	novel	NA	NA	NA	NA	mono-exon	FALSE	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	A	non_coding	NA	NA	NA	NA	100.0
PB.5130.1	chr2	+	2797	18	novel_not_in_catalog	NCAPH	novel	2763	18	NA	NA	any annotated donor/acceptor	FALSE	canonical	NA	NA	NA	NA	NA	3	NA	TRUE	NA	NA	NA	A	coding	725	2178	71	2248	35.0
PB.3081.4	chr15	-	2514	10	full-splice_match	C15orf38-AP3S2	ENST00000398333.7	2439	10	-73	-2	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	A	coding	394	1185	121	1305	15.0
PB.1664.1	chr11	+	2862	25	full-splice_match	TPCN2	ENST00000294309.7	2931	25	41	28	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	752	2259	61	2319	35.0
PB.4058.4	chr17	+	1416	13	novel_in_catalog	SAP30BP	novel	2722	11	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	197	594	588	1181	20.0
PB.6461.3	chr3	-	932	6	novel_not_in_catalog	TM4SF1	novel	1771	5	NA	NA	any annotated donor/acceptor	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	202	609	132	740	5.0
PB.5495.4	chr20	-	1887	9	novel_not_in_catalog	DDRGK1	novel	865	2	NA	NA	any annotated donor/acceptor	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	108	327	1430	1756	5.0
PB.1125.2	chr10	-	1776	13	full-splice_match	ANXA7	ENST00000372921.9	2452	13	-3	679	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	466	1401	61	1461	35.0
PB.4058.1	chr17	+	2134	11	full-splice_match	SAP30BP	ENST00000584667.5	2722	11	212	376	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	308	927	46	972	15.0
PB.4058.2	chr17	+	1201	11	full-splice_match	SAP30BP	ENST00000584667.5	2722	11	218	1303	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	308	927	40	966	20.0
PB.4058.3	chr17	+	2466	11	full-splice_match	SAP30BP	ENST00000584667.5	2722	11	243	13	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	3	NA	TRUE	NA	NA	NA	C	coding	308	927	15	941	20.0
PB.4125.1	chr17	-	1627	9	novel_in_catalog	SIRT7	novel	3445	4	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	365	1098	52	1149	5.0
PB.8631.1	chr9	+	1792	8	novel_in_catalog	SMARCA2	novel	5855	33	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	6	1	TRUE	NA	NA	NA	A	coding	276	831	128	958	15.0
PB.147.6	chr1	+	2799	11	novel_in_catalog	SRRM1	novel	4011	17	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	5	NA	TRUE	NA	NA	NA	C	coding	585	1758	66	1823	35.0
PB.9303.1	chrX	-	1817	8	full-splice_match	BCAP31	ENST00000458587.7	1824	8	1	6	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	313	942	437	1378	10.0
PB.9303.2	chrX	-	1293	8	full-splice_match	BCAP31	ENST00000345046.11	1643	8	344	6	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	246	741	114	854	10.0
PB.1510.1	chr11	+	3142	11	full-splice_match	CD5	ENST00000347785.7	3221	11	73	6	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	A	coding	495	1488	94	1581	45.0
PB.8987.1	chr9	-	2307	10	novel_in_catalog	DPH7	novel	1311	2	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	276	831	1144	1974	40.0
PB.7455.4	chr6_GL000254v2_alt	+	2748	5	antisense		novel	NA	NA	NA	NA	multi-exon	FALSE	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	B	coding	345	1038	651	1688	30.0
PB.8978.3	chr9	+	971	2	full-splice_match	SSNA1	ENST00000463511.1	570	2	38	-439	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	4	NA	TRUE	NA	NA	NA	C	non_coding	NA	NA	NA	NA	25.0
PB.9134.1	chrX	-	4444	2	full-splice_match	SPIN3	ENST00000374919.5	4642	2	197	1	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	9	NA	TRUE	NA	NA	NA	A	coding	258	777	329	1105	20.0
PB.8978.1	chr9	+	868	3	full-splice_match	SSNA1	ENST00000322310.9	896	3	21	7	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	119	360	60	419	25.0
PB.8664.2	chr9	+	1771	9	full-splice_match	DNAJA1	ENST00000330899.4	2381	9	18	592	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	397	1194	166	1359	15.0
PB.4558.1	chr19	+	3600	12	novel_in_catalog	GATAD2A	novel	640	3	NA	NA	combination_of_known_junctions	TRUE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	589	1770	327	2096	20.0
PB.5661.3	chr20	-	3925	23	full-splice_match	ZMYND8	ENST00000461685.5	3567	23	-58	-300	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	1188	3567	59	3625	90.0
PB.158.3	chr1	-	2959	4	full-splice_match	STMN1	ENST00000465604.1	2947	4	-2	-10	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	112	339	94	432	20.0
PB.220.1	chr1	+	2118	13	full-splice_match	LCK	ENST00000336890.9	2117	13	0	-1	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	509	1530	139	1668	10.0
PB.653.2	chr1	+	2959	23	full-splice_match	ADAM15	ENST00000449910.6	2946	23	4	-17	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	6	NA	TRUE	NA	NA	NA	C	coding	862	2589	98	2686	10.0
PB.432.3	chr1	+	3197	16	incomplete-splice_match	PKN2	ENST00000370521.7	6121	22	47	21916	3prime_fragment	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	760	2283	313	2595	40.0
PB.8183.1	chr7	+	5070	17	full-splice_match	AHCYL2	ENST00000446544.6	5026	17	-45	1	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	A	coding	610	1833	73	1905	20.0
PB.432.2	chr1	+	5640	22	full-splice_match	PKN2	ENST00000370521.7	6121	22	30	451	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	3	NA	TRUE	NA	NA	NA	C	coding	984	2955	330	3284	20.0
PB.6155.2	chr3	-	3079	5	full-splice_match	CSRNP1	ENST00000514182.1	2593	5	-3	-483	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	589	1770	110	1879	20.0
PB.8750.1	chr9	-	1457	10	full-splice_match	AUH	ENST00000375731.8	1577	10	15	105	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	5	1	TRUE	NA	NA	NA	A	coding	339	1020	10	1029	45.0
PB.5416.3	chr2	-	2758	18	incomplete-splice_match	TRIP12	ENST00000389045.7	5355	39	125283	-227	5prime_fragment	TRUE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	B	coding	771	2316	103	2418	15.0
PB.6155.1	chr3	-	3166	5	full-splice_match	CSRNP1	ENST00000273153.9	3148	5	-16	-2	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	3	NA	TRUE	NA	NA	NA	C	coding	589	1770	195	1964	20.0
PB.4815.1	chr19_GL949751v2_alt	+	1849	14	antisense		novel	NA	NA	NA	NA	multi-exon	FALSE	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	B	coding	499	1500	63	1562	15.0
PB.7658.7	chr6	-	1667	12	full-splice_match	PNISR	ENST00000369239.9	5112	12	22	3423	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	494	1482	184	1665	75.0
PB.4815.2	chr19_GL949749v2_alt	+	1918	13	antisense		novel	NA	NA	NA	NA	multi-exon	FALSE	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	B	coding	358	1077	28	1104	15.0
PB.388.1	chr1	+	2422	4	full-splice_match	LEPROT	ENST00000371065.8	4622	4	7	2193	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	131	396	132	527	25.0
PB.956.1	chr1	+	2036	7	full-splice_match	GPR137B	ENST00000366592.7	2042	7	1	5	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	384	1155	136	1290	25.0
PB.7455.5	chr6_GL000254v2_alt	+	3284	4	antisense		novel	NA	NA	NA	NA	multi-exon	FALSE	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	B	coding	345	1038	749	1786	10.0
PB.4956.1	chr2	+	2932	3	full-splice_match	LBH	ENST00000395323.7	2933	3	1	0	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	A	coding	105	318	208	525	0.0
PB.7047.1	chr5	-	2943	21	full-splice_match	GFM2	ENST00000296805.7	3249	21	244	62	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	779	2340	215	2554	50.0
PB.3873.1	chr17	+	2237	1	novel_in_catalog	DHX8	novel	590	4	90	6101	mono-exon_by_intron_retention	FALSE	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	C	non_coding	NA	NA	NA	NA	90.0
PB.5174.3	chr2	+	3326	10	incomplete-splice_match	SLC20A1	ENST00000272542.7	3381	11	482	6	5prime_fragment	FALSE	canonical	NA	NA	NA	NA	NA	11	1	TRUE	NA	NA	NA	C	coding	679	2040	491	2530	25.0
PB.8664.4	chr9	+	2078	9	full-splice_match	DNAJA1	ENST00000330899.4	2381	9	64	239	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	397	1194	120	1313	25.0
PB.3983.1	chr17	-	2289	9	full-splice_match	TUBD1	ENST00000325752.7	2490	9	201	0	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	9	2	TRUE	NA	NA	NA	A	coding	453	1362	88	1449	40.0
PB.5333.1	chr2	+	4265	9	full-splice_match	SGO2	ENST00000357799.8	4214	9	-31	-20	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	A	coding	1265	3798	130	3927	15.0
PB.696.3	chr1	-	2694	4	novel_in_catalog	ISG20L2	novel	3178	3	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	353	1062	179	1240	25.0
PB.6864.2	chr4	+	4957	34	novel_in_catalog	KIAA0922	novel	5017	35	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	B	coding	1462	4389	439	4827	15.0
PB.69.2	chr1	-	3410	1	novel_in_catalog	CTNNBIP1	novel	3000	6	25496	33082	mono-exon_by_intron_retention	FALSE	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	C	coding	121	366	1322	1687	90.0
PB.6149.1	chr3	-	1734	12	full-splice_match	ACAA1	ENST00000333167.12	1785	12	48	3	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	424	1275	126	1400	5.0
PB.7455.6	chr6_GL000251v2_alt	+	2555	1	antisense		novel	NA	NA	NA	NA	mono-exon	FALSE	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	B	coding	106	321	993	1313	90.0
PB.8970.1	chr9	-	2104	9	full-splice_match	ENTPD2	ENST00000355097.6	2095	9	-15	6	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	A	coding	495	1488	64	1551	25.0
PB.7477.1	chr6_GL000256v2_alt	+	3845	28	antisense		novel	NA	NA	NA	NA	multi-exon	FALSE	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	B	coding	1246	3741	72	3812	20.0
PB.3211.2	chr16	+	3936	17	full-splice_match	MGRN1	ENST00000262370.11	3968	17	28	4	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	576	1731	144	1874	15.0
PB.3211.3	chr16	+	3978	18	novel_in_catalog	MGRN1	novel	556	5	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	552	1659	141	1799	15.0
PB.3211.1	chr16	+	3896	16	full-splice_match	MGRN1	ENST00000588994.5	1665	16	-169	-2062	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	554	1665	170	1834	15.0
PB.8950.1	chr9	+	4754	4	novel_in_catalog	PPP1R26	novel	4744	4	NA	NA	no_combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	1	1	TRUE	NA	NA	NA	B	coding	1209	3630	372	4001	20.0
PB.7444.2	chr6_GL000253v2_alt	+	1284	6	antisense		novel	NA	NA	NA	NA	multi-exon	FALSE	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	B	coding	315	948	151	1098	45.0
PB.5462.7	chr2	-	2047	11	full-splice_match	STK25	ENST00000535007.5	2459	11	97	315	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	332	999	409	1407	20.0
PB.4131.1	chr17	+	2690	17	full-splice_match	LRRC45	ENST00000306688.7	2701	17	10	1	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	670	2013	333	2345	10.0
PB.4710.1	chr19	-	2814	23	full-splice_match	ERCC2	ENST00000391945.9	4122	23	-1	1309	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	760	2283	49	2331	10.0
PB.4517.1	chr19	+	2959	9	full-splice_match	ANKLE1	ENST00000394458.7	3218	9	262	-3	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	615	1848	15	1862	20.0
PB.9244.5	chrX	-	3760	25	full-splice_match	SMARCA1	ENST00000371121.4	3564	25	-111	-85	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	1070	3213	147	3359	25.0
PB.7742.2	chr6	+	2365	1	incomplete-splice_match	ADGRG6	ENST00000230173.10	7026	26	142035	13	mono-exon	FALSE	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	C	non_coding	NA	NA	NA	NA	25.0
